pass,profile,label,records,normalized_differences,raw_larger,canonical_larger,raw_delta_min,raw_delta_max,canonical_delta_min,canonical_delta_max,runtime_matches,runtime_blocked,not_replayed,first_case,agent_judgment
code-folding,code-folding-movement,code-folding:internal-target-movement,1649,1649,0,0,-1,-1,-1,-1,12,0,1637,case-000007-gen-valid,open family; sample judgments do not establish family signoff
code-folding,code-folding-returns,code-folding:returns-unreachable,1727,1727,0,0,-1,-1,-1,-1,8,0,1719,case-000001-gen-valid,open family; sample judgments do not establish family signoff
dae-optimizing,dae-optimizing-computed-effects,dae-optimizing:computed-effects,886,886,0,0,-20,-20,-8,-8,5,0,881,case-000006-gen-valid,open family; sample judgments do not establish family signoff
dae-optimizing,dae-optimizing-forwarded-suffix,dae-optimizing:forwarded-suffix,634,634,0,0,-11,-11,-11,-11,1,0,633,case-000072-gen-valid,open family; sample judgments do not establish family signoff
dae-optimizing,dae-optimizing-immutable-field,dae-optimizing:immutable-field,931,931,0,0,-11,-11,-11,-11,1,0,930,case-000052-gen-valid,open family; sample judgments do not establish family signoff
dae-optimizing,dae-optimizing-many-touched,dae-optimizing:many-touched,602,602,0,0,-9,-9,-9,-9,5,0,597,case-000010-gen-valid,open family; sample judgments do not establish family signoff
dae-optimizing,dae-optimizing-result-control,dae-optimizing:result-control,610,610,0,0,-1,-1,-1,-1,3,0,607,case-000038-gen-valid,open family; sample judgments do not establish family signoff
dae-optimizing,dae-optimizing-table-effects,dae-optimizing:table-effects,589,589,0,0,-6,-6,-6,-6,1,0,588,case-000048-gen-valid,open family; sample judgments do not establish family signoff
dae-optimizing,dae-optimizing-touched-caller,dae-optimizing:touched-caller,595,595,0,0,-14,-13,-14,-13,5,0,590,case-000023-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-call-ref,unlabeled,717,0,717,0,3,3,0,0,0,0,717,case-000016-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-continuations,unlabeled,688,121,688,0,4,11,-10,-5,0,3,685,case-000015-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-control-flow,unlabeled,711,711,0,0,-21,-19,-25,-23,3,0,708,case-000014-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-cycles,unlabeled,698,698,0,0,-37,-34,-37,-34,2,0,696,case-000020-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-effectful-arguments,unlabeled,764,764,407,0,-2,1,-5,-2,2,0,762,case-000003-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-exceptions,unlabeled,730,730,730,730,14,14,8,8,1,0,729,case-000029-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-forwarded-results,unlabeled,678,678,0,0,-14,-12,-14,-12,5,0,673,case-000004-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-intrinsics,unlabeled,746,0,746,0,3,3,0,0,0,0,746,case-000001-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-locals,unlabeled,599,599,0,0,-32,-8,-32,-11,7,0,592,case-000007-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-open-world,unlabeled,710,0,710,0,5,5,0,0,0,0,710,case-000013-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-reference-types,unlabeled,708,708,0,0,0,0,-6,-6,3,0,705,case-000002-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-tail-calls,unlabeled,739,739,0,0,-12,-10,-12,-10,4,0,735,case-000009-gen-valid,open family; sample judgments do not establish family signoff
dae2,dae2-tuple-results,unlabeled,706,706,0,0,-54,-10,-75,-8,11,0,695,case-000012-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-call-ref,unlabeled,717,0,717,0,3,3,0,0,0,0,717,case-000016-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-continuations,unlabeled,688,688,688,0,3,24,-4,-1,0,2,686,case-000015-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-control-flow,unlabeled,711,711,0,0,-4,-4,-8,-8,2,0,709,case-000014-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-cycles,unlabeled,698,698,0,0,-6,-6,-6,-6,1,0,697,case-000020-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-effectful-arguments,unlabeled,764,764,0,0,-2,-2,-2,-2,2,0,762,case-000003-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-exceptions,unlabeled,730,730,730,730,17,17,11,11,1,0,729,case-000029-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-forwarded-results,unlabeled,678,678,0,0,-6,-6,-6,-6,2,0,676,case-000004-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-intrinsics,unlabeled,746,746,746,0,2,2,-1,-1,3,0,743,case-000001-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-locals,unlabeled,599,599,0,0,-19,-2,-19,-2,5,0,594,case-000007-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-open-world,unlabeled,710,0,710,0,5,5,0,0,0,0,710,case-000013-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-reference-types,unlabeled,708,708,0,0,-1,-1,-11,-11,2,0,706,case-000002-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-tail-calls,unlabeled,739,739,0,0,-5,-5,-5,-5,2,0,737,case-000009-gen-valid,open family; sample judgments do not establish family signoff
dae2-optimizing,dae2-tuple-results,unlabeled,706,706,0,0,-51,-2,-72,-3,12,0,694,case-000012-gen-valid,open family; sample judgments do not establish family signoff
dead-argument-elimination,dae-arg-type-refinement,unlabeled,625,625,0,0,-1,-1,-1,-1,2,0,623,case-000011-gen-valid,open family; sample judgments do not establish family signoff
dead-argument-elimination,dae-constant-args,unlabeled,1875,1875,0,0,-6,-6,-6,-6,6,0,1869,case-000002-gen-valid,open family; sample judgments do not establish family signoff
dead-argument-elimination,dae-convergence,unlabeled,625,625,0,0,-4,-4,-4,-4,2,0,623,case-000010-gen-valid,open family; sample judgments do not establish family signoff
dead-argument-elimination,dae-localization,unlabeled,625,0,625,0,6,6,0,0,0,0,625,case-000007-gen-valid,open family; sample judgments do not establish family signoff
